rank,run_index,run_name,status,changed_parameter,changed_value,epochs_requested,imgsz,batch,lr0,optimizer,patience,training_minutes,precision,recall,mAP50,mAP50_95,best_model_path,last_model_path,error
1,2,run_02_imgsz_512,completed,imgsz,512,30,512,8,0.01,auto,10,,0.8723146319213786,0.7874852099442896,0.8845656384323265,0.7520340566500026,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_02_imgsz_512\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_02_imgsz_512\weights\last.pt,
2,7,run_07_lr0_0.001,completed,lr0,0.001,30,640,8,0.001,auto,10,,0.8240441158560076,0.8135592559084649,0.8896530641749532,0.7414654308804579,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_07_lr0_0.001\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_07_lr0_0.001\weights\last.pt,
3,9,run_09_lr0_0.02,completed,lr0,0.02,30,640,8,0.02,auto,10,,0.8240441158560076,0.8135592559084649,0.8896530641749532,0.7414654308804579,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_09_lr0_0.02\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_09_lr0_0.02\weights\last.pt,
4,8,run_08_lr0_0.005,completed,lr0,0.005,30,640,8,0.005,auto,10,,0.8240441158560076,0.8135592559084649,0.8896530641749532,0.7414654308804579,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_08_lr0_0.005\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_08_lr0_0.005\weights\last.pt,
5,0,run_00_default,completed,none,default,30,640,8,0.01,auto,10,,0.8254959834249088,0.7899857413870279,0.881669844051662,0.7400846742256677,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_00_default\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_00_default\weights\last.pt,
6,5,run_05_batch_12,completed,batch,12,30,640,12,0.01,auto,10,,0.9080982341303492,0.7649220027797475,0.8817191538218866,0.7394879571283417,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_05_batch_12\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_05_batch_12\weights\last.pt,
7,4,run_04_batch_4,completed,batch,4,30,640,4,0.01,auto,10,,0.7837643629918257,0.8406390870498588,0.881980201378341,0.7330664949260749,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_04_batch_4\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_04_batch_4\weights\last.pt,
8,1,run_01_imgsz_416,completed,imgsz,416,30,416,8,0.01,auto,10,,0.853199389505774,0.8012148669957307,0.8722738978245524,0.7329742950559873,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_01_imgsz_416\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_01_imgsz_416\weights\last.pt,
9,3,run_03_imgsz_768,completed,imgsz,768,30,768,8,0.01,auto,10,,0.8408063599311768,0.800066352241214,0.8700465613587607,0.728335239399047,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_03_imgsz_768\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_03_imgsz_768\weights\last.pt,
10,6,run_06_batch_16,completed,batch,16,30,640,16,0.01,auto,10,,0.8551101632706584,0.7763804854501613,0.869112038005894,0.7262643171644758,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_06_batch_16\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_06_batch_16\weights\last.pt,
11,10,run_10_optimizer_SGD,completed,optimizer,SGD,30,640,8,0.01,SGD,10,,0.8828774213746318,0.7450964120222506,0.8638744833902403,0.7253249294888902,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_10_optimizer_SGD\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_10_optimizer_SGD\weights\last.pt,
12,12,run_12_optimizer_AdamW,completed,optimizer,AdamW,30,640,8,0.01,AdamW,10,,0.7365229082227442,0.7822354001414393,0.8299529187843806,0.6843236362971975,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_12_optimizer_AdamW\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_12_optimizer_AdamW\weights\last.pt,
13,11,run_11_optimizer_Adam,completed,optimizer,Adam,30,640,8,0.01,Adam,10,,0.766612343993584,0.7919012481782428,0.8371929985747198,0.6774628573971598,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_11_optimizer_Adam\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_11_optimizer_Adam\weights\last.pt,
